N=CN(CC=O)C=O,-52.61285329
O=CCC(C=O)C=O,-89.53932348
O=CCN(C=O)C=O,-97.36590142
CC#CC(C#C)C#C,171.5926581
CC#CC(C#C)C#N,144.7481497
CC#CC(C=O)C#C,79.98269593
CC#CC(C=O)C#N,53.90312166
CC#CC(C=O)C=O,-8.054227123
CN=C(NC=N)C#N,58.59051163
CN=C(NC=O)C#C,35.80371301
CN=C(OC=O)C#C,-4.273761835
CN=C(OC=O)C#N,-26.64663749
CN=C(NC=N)C=O,0.44277303
CN=C(NC=O)C=O,-52.0782152
CN=C(OC=O)C=O,-87.87607525
NC=[NH+][C-](C#N)C#N,96.96321776
NC=NC(C=O)C#N,18.51931189
CN=CN(C=N)C=N,39.89524841
CN=CN(C=N)C=O,-12.11808463
CN=CN(C=O)C=O,-56.59565609
NC=NC(C=O)C=O,-43.54785105
CC#CC(CO)C#C,61.11863264
CC#CC(CO)C#N,33.54997833
CCC(C#C)C#CC,89.91941371
CCC(C#N)C#CC,61.55633237
CNC(C#N)C#CC,80.85197005
COC(C#C)C#CC,71.26608877
COC(C#N)C#CC,44.13229854
CC#CC(CO)C=O,-26.33345155
CCC(C=O)C#CC,0.946246488
CNC(C=O)C#CC,19.24351655
COC(C=O)C#CC,-17.99636033
CCN(C=O)C=NC,-43.20951858
COC(CC#C)=NC,28.0449648
COC(CC#N)=NC,-6.291379474
CCC(CC#C)C#C,93.67380305
CCC(CC#C)C#N,66.16287961
CCC(CC#N)C#C,66.20115769
CCC(CC#N)C#N,39.52168434
CNC(CC#C)C#N,84.06168114
CNC(CC#N)C#C,84.81657507
CNC(CC#N)C#N,57.60309113
COC(CC#C)C#C,72.76520896
COC(CC#C)C#N,45.84351695
COC(CC#N)C#C,44.54331726
COC(CC#N)C#N,18.92056991
NCC(CC#N)C#N,53.29398339
OCC(CC#C)C#C,65.80110853
OCC(CC#C)C#N,38.90326188
OCC(CC#N)C#C,38.49977327
OCC(CC#N)C#N,12.66618272
CCC(CC#C)C=O,7.895286691
CCC(CC#N)C=O,-19.46315194
CCN(CC#C)C=O,5.318453235
CCN(CC#N)C=O,-21.76576374
CNC(CC#N)C=O,-3.788871589
